wavelength,emissivity
2.02306,0.580247
2.03798,0.573388
2.08416,0.567901
2.13047,0.563786
2.17665,0.558299
2.23839,0.552812
2.28458,0.547325
2.33088,0.54321
2.39263,0.537723
2.46981,0.530864
2.53219,0.532236
2.59445,0.532236
2.65645,0.529492
2.73414,0.528121
2.81184,0.526749
2.87397,0.525377
2.95191,0.526749
3.02974,0.526749
3.10768,0.528121
3.1702,0.530864
3.2484,0.534979
3.31092,0.537723
3.38886,0.539095
3.46681,0.540466
3.52933,0.54321
3.5764,0.547325
3.62361,0.552812
3.68638,0.558299
3.73358,0.563786
3.78066,0.567901
3.82787,0.573388
3.87507,0.578875
3.89115,0.584362
3.92292,0.591221
3.95468,0.59808
3.98633,0.603567
4.01809,0.610425
4.08061,0.613169
4.14312,0.615912
4.20576,0.620027
4.25297,0.625514
4.33066,0.624143
4.37722,0.622771
4.45581,0.631001
4.53376,0.632373
4.59628,0.635117
4.67435,0.63786
4.72143,0.641975
4.79938,0.643347
4.86202,0.647462
4.93997,0.648834
5.01792,0.650206
5.09587,0.651578
5.15838,0.654321
5.23633,0.655693
5.31428,0.657064
5.39223,0.658436
5.45461,0.659808
5.53256,0.66118
5.61051,0.662551
5.68846,0.663923
5.75097,0.666667
5.82879,0.666667
5.90687,0.66941
5.98482,0.670782
6.04733,0.673525
6.12554,0.677641
6.17262,0.681756
6.21982,0.687243
6.28259,0.69273
6.32979,0.698217
6.37687,0.702332
6.43964,0.707819
6.50215,0.710562
6.54923,0.714678
6.612,0.720165
6.6592,0.725652
6.70641,0.731139
6.75349,0.735254
6.81626,0.740741
6.86333,0.744856
6.91054,0.750343
6.95774,0.75583
7.02051,0.761317
7.08303,0.76406
7.14567,0.768176
7.19274,0.772291
7.23995,0.777778
7.30272,0.783265
7.34992,0.788752
7.397,0.792867
7.4442,0.798354
7.50672,0.801097
7.55379,0.805213
7.63174,0.806584
7.67895,0.812071
7.74159,0.816187
7.81992,0.821674
7.88244,0.824417
7.96051,0.82716
8.02315,0.831276
8.0858,0.835391
8.14844,0.839506
8.21121,0.844993
8.25841,0.85048
8.30549,0.854595
8.38356,0.857339
8.43064,0.861454
8.50885,0.865569
8.57149,0.869684
8.634,0.872428
8.69664,0.876543
8.75928,0.880658
8.80623,0.883402
8.86887,0.887517
8.94682,0.888889
9.00934,0.891632
9.07198,0.895748
9.15005,0.898491
9.19726,0.903978
9.2599,0.908093
9.32254,0.912209
9.38518,0.916324
9.44769,0.919067
9.51046,0.924554
9.55767,0.930041
9.60475,0.934156
9.65182,0.938272
9.71446,0.942387
9.77711,0.946502
9.83923,0.94513
9.90162,0.946502
9.97944,0.946502
