wavenumber,2360K
483.636,0.7597
516.364,0.745154
524.545,0.725741
557.273,0.703914
573.636,0.686933
622.727,0.674823
671.818,0.682132
712.727,0.699144
745.455,0.718579
794.545,0.755013
819.091,0.784153
851.818,0.823005
860,0.876408
884.545,0.907974
909.091,0.941968
925.455,0.963822
950,0.983252
982.727,0.988124
1040,0.990583
1097.27,0.990613
1162.73,0.985794
1220,0.976117
1293.64,0.966447
1359.09,0.959201
1465.45,0.959259
1539.09,0.954444
1629.09,0.954492
1702.73,0.947251
1751.82,0.935141
1817.27,0.920613
1874.55,0.891518
1915.45,0.872123
1931.82,0.84786
1980.91,0.811478
2005.45,0.779938
2038.18,0.748402
2062.73,0.719289
2087.27,0.685322
2120,0.653786
2144.55,0.627101
2169.09,0.59556
2201.82,0.547034
2234.55,0.520353
2267.27,0.493672
2283.64,0.462127
2324.55,0.425741
2357.27,0.394206
2406.36,0.365106
2439.09,0.335997
2488.18,0.314179
2537.27,0.289934
2610.91,0.260847
2676.36,0.248747
2750,0.234223
2815.45,0.22455
2938.18,0.210053
3069.09,0.207696
3191.82,0.21019
3281.82,0.212665
3412.73,0.215163
3519.09,0.215221
3633.64,0.215282
3772.73,0.210503
3854.55,0.215402
3985.45,0.217899
4108.18,0.217966
4247.27,0.222895
4386.36,0.230252
4492.73,0.230309
4631.82,0.232811
4811.82,0.235335
4918.18,0.235393
5057.27,0.240322
5139.09,0.240366
5245.45,0.240424
5351.82,0.242908
5474.55,0.242974
