wavelength,Intensity
2.40554,10.2959
2.44433,11.0059
2.4796,11.4497
2.50781,11.8935
2.5466,12.6036
2.59597,13.4024
2.61713,13.7574
2.64534,14.8225
2.67003,14.7337
2.69824,15.7101
2.71587,15.5325
2.74408,16.6864
2.76524,16.4201
2.78992,17.0414
2.86398,17.3077
2.88161,18.3728
2.93098,19.3491
2.95214,18.1953
2.97683,18.9941
3.02267,21.213
3.04736,20.0592
3.1073,21.7456
3.13199,21.8343
3.14962,22.3669
3.16725,21.9231
3.21662,22.0118
3.23778,24.0533
3.25189,22.8994
3.27657,23.9645
3.29773,23.6095
3.31889,24.5858
3.33652,24.6746
3.35768,25.2071
3.37531,24.5858
3.39295,25.5621
3.41763,25.4734
3.4529,25.4734
3.47406,26.8935
3.49521,26.2722
3.52695,26.5385
3.56927,27.2485
3.5869,28.0473
3.60453,27.2485
3.61864,27.6923
3.66448,29.1124
3.69622,28.9349
3.72091,27.8698
3.72796,29.0237
3.76675,29.2899
3.78438,28.8462
3.80202,30
3.82317,29.1124
3.85844,29.7337
3.87607,30.7988
3.8937,29.3787
3.91134,30.355
3.92544,30
3.9466,30.6213
3.96071,30.0888
3.97834,32.574
3.99244,30.4438
4.0136,31.1538
4.02771,29.9112
4.04534,31.2426
4.06297,30.6213
4.07708,31.9527
4.09824,30.9763
4.11234,31.1538
4.12997,30.7988
4.14761,31.8639
4.15819,31.6864
4.17935,32.929
4.19698,32.4852
4.21108,33.5503
4.22872,30
4.24635,35.5917
4.26398,30.355
4.27456,31.7751
4.29219,30.8876
4.30982,32.4852
4.32746,31.2426
4.34156,32.1302
4.36272,32.0414
4.38035,32.6627
4.39446,31.0651
4.40504,32.6627
4.41914,32.3964
4.45793,31.1538
4.47557,32.6627
4.4932,31.5089
4.5073,34.2604
4.52141,31.3314
4.53904,33.3728
4.55315,31.4201
4.57431,32.4852
4.59194,32.1302
4.60605,33.1953
4.62368,32.0414
4.64131,34.7041
4.65189,32.7515
4.66952,33.9941
4.68715,32.3964
4.70126,33.3728
4.71537,32.0414
4.73652,35.3254
4.75416,32.929
4.77884,34.9704
4.78942,31.3314
